isocountry,isocountry_c,iso3c,dataset
36.0,Australia,AUS,ALSA
40.0,Austria,AUT,SHARE
56.0,Belgium,BEL,SHARE
100.0,Bulgaria,BGR,SHARE
156.0,China,CHN,CHARLS
191.0,Croatia,HRV,SHARE
196.0,Cyprus,CYP,SHARE
203.0,Czech Republic,CZE,SHARE
208.0,Denmark,DNK,SHARE
233.0,Estonia,EST,SHARE
246.0,Finland,FIN,SHARE
250.0,France,FRA,SHARE
276.0,Germany,DEU,SHARE
300.0,Greece,GRC,SHARE
348.0,Hungary,HUN,SHARE
356.0,India,IND,LASI
376.0,Israel,ISR,SHARE
380.0,Italy,ITA,SHARE
392.0,Japan,JPN,NSJE+MIDJA
410.0,Korea,KOR,KLOSA
428.0,Latvia,LVA,SHARE
440.0,Lithuania,LTU,SHARE
442.0,Luxembourg,LUX,SHARE
470.0,Malta,MLT,SHARE
484.0,Mexico,MEX,MHAS
528.0,Netherlands,NLD,SHARE
616.0,Poland,POL,SHARE
620.0,Portugal,PRT,SHARE
642.0,Romania,ROU,SHARE
703.0,Slovakia,SVK,SHARE
705.0,Slovenia,SVN,SHARE
724.0,Spain,ESP,SHARE
752.0,Sweden,SWE,SHARE
756.0,Switzerland,CHE,SHARE
826.0,England,GBR,ELSA
840.0,USA,USA,HRS
