country,iso3c,dataset,last_survey_year,year,wb_country,le,female,male
Australia,AUS,ALSA,2014.0,2014,Australia,82.3,84.4,80.3
Austria,AUT,SHARE,2022.0,2022,Austria,81.2951219512195,83.6,79.1
Belgium,BEL,SHARE,2022.0,2022,Belgium,81.7487804878049,83.9,79.7
Bulgaria,BGR,SHARE,2022.0,2022,Bulgaria,74.1609756097561,77.9,70.6
China,CHN,CHARLS,2018.0,2018,China,77.709,80.573,75.034
Croatia,HRV,SHARE,2022.0,2022,Croatia,77.5756097560976,80.7,74.6
Cyprus,CYP,SHARE,2022.0,2022,Cyprus,80.434,82.577,78.345
Czech Republic,CZE,SHARE,2022.0,2022,Czechia,78.9292682926829,81.9,76.1
Denmark,DNK,SHARE,2022.0,2022,Denmark,81.3048780487805,83.2,79.5
England,GBR,ELSA,2019.0,2019,United Kingdom,81.3691219512195,83.275,79.554
Estonia,EST,SHARE,2022.0,2022,Estonia,77.8439024390244,82.3,73.6
Finland,FIN,SHARE,2022.0,2022,Finland,81.1878048780488,83.8,78.7
France,FRA,SHARE,2022.0,2022,France,82.1292682926829,85.1,79.3
Germany,DEU,SHARE,2022.0,2022,Germany,80.6080487804878,83.0,78.33
Greece,GRC,SHARE,2022.0,2022,Greece,80.7878048780488,83.4,78.3
Hungary,HUN,SHARE,2022.0,2022,Hungary,75.8682926829268,79.3,72.6
India,IND,LASI,2024.0,2024,India,72.235,73.856,70.729
Israel,ISR,SHARE,2022.0,2022,Israel,82.7,84.8,80.7
Italy,ITA,SHARE,2022.0,2022,Italy,82.7,84.8,80.7
Japan,JPN,NSJE+MIDJA,2011.0,2011,Japan,82.5912195121951,85.9,79.44
Korea,KOR,KLOSA,2020.0,2020,"Korea, Rep.",83.4268292682927,86.5,80.5
Latvia,LVA,SHARE,2022.0,2022,Latvia,74.2780487804878,79.4,69.4
Lithuania,LTU,SHARE,2022.0,2022,Lithuania,75.6439024390244,80.1,71.4
Luxembourg,LUX,SHARE,2022.0,2022,Luxembourg,82.9463414634147,85.2,80.8
Malta,MLT,SHARE,2022.0,2022,Malta,82.2975609756098,84.5,80.2
Mexico,MEX,MHAS,2019.0,2019,Mexico,74.53,77.422,71.587
Netherlands,NLD,SHARE,2022.0,2022,Netherlands,81.6146341463415,83.1,80.2
Poland,POL,SHARE,2022.0,2022,Poland,77.1560975609756,81.1,73.4
Portugal,PRT,SHARE,2022.0,2022,Portugal,81.6317073170732,84.5,78.9
Romania,ROU,SHARE,2022.0,2022,Romania,75.1536585365854,79.2,71.3
Slovakia,SVK,SHARE,2022.0,2022,Slovak Republic,76.9658536585366,80.5,73.6
Slovenia,SVN,SHARE,2022.0,2022,Slovenia,81.2829268292683,84.1,78.6
Spain,ESP,SHARE,2022.0,2022,Spain,83.1341463414634,85.9,80.5
Sweden,SWE,SHARE,2022.0,2022,Sweden,83.0585365853659,84.8,81.4
Switzerland,CHE,SHARE,2022.0,2022,Switzerland,83.6048780487805,85.5,81.8
USA,USA,HRS,2023.0,2023,United States,78.3853658536585,81.1,75.8
